year,harvest_volume,planted_volume,harvest_ratio,harvest_delta,plant_delta
1980,72961000,84043000,0.8681389288816439,,
1981,74524000,84097000,0.8861671641081132,1563000.0,54000.0
1982,72719000,81857000,0.888366297323381,-1805000.0,-2240000.0
1983,51479000,60207000,0.8550334678691847,-21240000.0,-21650000.0
1984,71897000,80517000,0.8929418632090118,20418000.0,20310000.0
1985,75209000,83398000,0.9018081968392527,3312000.0,2881000.0
1986,68907000,76580000,0.8998041264037607,-6302000.0,-6818000.0
1987,59505000,66200000,0.8988670694864048,-9402000.0,-10380000.0
1988,58250000,67717000,0.8601975870165542,-1255000.0,1517000.0
1989,64783000,72322000,0.8957578606786317,6533000.0,4605000.0
1990,66952000,74166000,0.9027317099479546,2169000.0,1844000.0
1991,68822000,75957000,0.9060652737733191,1870000.0,1791000.0
1992,72077000,79311000,0.9087894491306376,3255000.0,3354000.0
1993,62933000,73239000,0.8592826226464042,-9144000.0,-6072000.0
1994,72514000,78921000,0.9188175517289441,9581000.0,5682000.0
1995,65210000,71479000,0.9122959190811287,-7304000.0,-7442000.0
1996,72644000,79229000,0.9168864935818956,7434000.0,7750000.0
1997,72671000,79537000,0.9136753963564127,27000.0,308000.0
1998,72589000,80165000,0.9054949167342357,-82000.0,628000.0
1999,70487000,77386000,0.9108495076628847,-2102000.0,-2779000.0
2000,72440000,79551000,0.9106108031325816,1953000.0,2165000.0
2001,68768000,75702000,0.9084040051781987,-3672000.0,-3849000.0
2002,69330000,78894000,0.8787740512586508,562000.0,3192000.0
2003,70944000,78603000,0.9025609709553071,1614000.0,-291000.0
2004,73631000,80929000,0.9098221898207071,2687000.0,2326000.0
2005,75117000,81779000,0.9185365436114405,1486000.0,850000.0
2006,70638000,78327000,0.9018346164157953,-4479000.0,-3452000.0
2007,86520000,93527000,0.9250804580495472,15882000.0,15200000.0
2008,78570000,85982000,0.913795910772022,-7950000.0,-7545000.0
2009,79490000,86382000,0.9202148595772267,920000.0,400000.0
2010,81446000,88192000,0.9235078011611031,1956000.0,1810000.0
2011,83879000,91936000,0.912362948137835,2433000.0,3744000.0
2012,87365000,97291000,0.8979761745690763,3486000.0,5355000.0
2013,87461000,95365000,0.9171184396791275,96000.0,-1926000.0
2014,83146000,90597000,0.9177566586090047,-4315000.0,-4768000.0
2015,80753000,88019000,0.9174496415546644,-2393000.0,-2578000.0
2016,86748000,94004000,0.9228117952427556,5995000.0,5985000.0
2017,82733000,90167000,0.9175529850166912,-4015000.0,-3837000.0
2018,81276000,88871000,0.9145390509840106,-1457000.0,-1296000.0
2019,81337000,89745000,0.9063123293776812,61000.0,874000.0
2020,82313000,90652000,0.9080108546970833,976000.0,907000.0
2021,85318000,93252000,0.9149187148801098,3005000.0,2600000.0
2022,79115000,88589000,0.893056700041766,-6203000.0,-4663000.0
